Unnamed: 0,username,LABEL,processed,user_found,error,user_id,verified,account_age_days,followers_count,following_count,tweet_count_total,follower_following_ratio,tweets_fetched,fraction_retweets,fraction_with_urls,fraction_with_media,avg_tweet_length,avg_sentiment,tweets_per_week,domain_diversity,network_clustering_coefficient,mutual_followers_with_misinfo_spreaders,interaction_with_bots,inferred_political_leaning,personality_big_five,cognitive_reflection_score,avg_exclamation_count,liwc_categories,topic_distribution,image_content_descriptors,image_forensic_signals
106,bcmorgan93,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
107,bd_sassy,unreliable,True,True,,1.04204562642534e+18,False,2392.0,10.0,50.0,355.0,0.2,95.0,0.1684210526315789,0.4105263157894737,0.0631578947368421,174.06315789473683,0.039608023372826,0.278010033444816,0.4615384615384615,,,,,,,,,,,
108,Beansauced,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
109,BeckyCossey1,unreliable,True,True,,1.0552239098118104e+18,False,2356.0,791.0,1095.0,16319.0,0.7223744292237443,63.0,0.7777777777777778,0.238095238095238,0.1111111111111111,98.11111111111111,0.1354308962642296,0.1871816638370119,0.4,,,,,,,,,,,
110,BellaS9012,unreliable,True,True,,735696986.0,False,4629.0,23.0,172.0,3513.0,0.1337209302325581,95.0,0.9789473684210528,0.1368421052631579,0.0210526315789473,135.2,-0.0058447254499886,0.1436595376971268,0.2307692307692307,,,,,,,,,,,
111,BethanyHanna2,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
112,BetterVibeTribe,unreliable,True,True,,9.140279232498116e+17,False,2746.0,114.0,543.0,2546.0,0.2099447513812154,92.0,0.2065217391304347,0.6304347826086957,0.25,161.77173913043478,0.0331962986116712,0.2345229424617625,0.2241379310344827,,,,,,,,,,,
113,bev_60,unreliable,True,True,,196450442.0,False,5304.0,194.0,560.0,4498.0,0.3464285714285714,93.0,0.3978494623655914,0.2795698924731182,0.2473118279569892,53.516129032258064,0.0732198327359617,0.1227375565610859,0.1923076923076923,,,,,,,,,,,
114,bgodsey69,reliable,True,True,,51354485.0,False,5763.0,66.0,383.0,2392.0,0.1723237597911227,95.0,0.4526315789473684,0.3789473684210526,0.3789473684210526,74.90526315789474,0.034282372598162,0.1153912892590664,0.0277777777777777,,,,,,,,,,,
115,BibAlden777,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
116,BibleHuey,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
117,bifforama94,unreliable,True,True,,263887791.0,False,5141.0,100.0,314.0,5369.0,0.3184713375796178,100.0,0.34,0.21,0.17,98.48,0.0727650793650793,0.1361602801011476,0.1904761904761904,,,,,,,,,,,
118,BiGWIG1001,unreliable,True,True,,31968595.0,False,5834.0,10.0,147.0,271.0,0.0680272108843537,100.0,0.05,0.07,0.06,68.99,-0.0273505892255892,0.1199862872814535,0.2857142857142857,,,,,,,,,,,
119,BillDod_RT,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
120,billy_w007,unreliable,True,True,,1.0424766575195424e+18,False,2391.0,157.0,292.0,3052.0,0.5376712328767124,88.0,0.3295454545454545,0.1477272727272727,0.0568181818181818,186.75,0.0294705578512396,0.2576327896277708,0.3846153846153846,,,,,,,,,,,
121,BK4Qanon,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
122,bkallsen,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
123,blackvelvet47,unreliable,True,True,,32658008.0,False,5833.0,182.0,683.0,7404.0,0.2664714494875549,100.0,0.16,0.11,0.06,95.88,0.1402849317349317,0.1200068575347162,0.5454545454545454,,,,,,,,,,,
124,BlakePgolfwj,unreliable,True,True,,8.952512216903721e+17,False,2798.0,101.0,0.0,1372.0,,96.0,0.125,0.9270833333333334,0.7291666666666666,159.4375,0.046504523605528,0.2401715511079342,0.1011235955056179,,,,,,,,,,,
125,BleedTexas3,unreliable,True,True,,7.20753466130305e+17,False,3279.0,278.0,2708.0,1987.0,0.1026587887740029,98.0,1.0,0.2244897959183673,0.1224489795918367,129.37755102040816,0.1598511229888781,0.2092101250381213,0.5,,,,,,,,,,,
126,blessedwarrior3,unreliable,True,True,,9.544709645902972e+17,False,2634.0,160.0,447.0,35645.0,0.3579418344519016,99.0,1.0,0.303030303030303,0.2626262626262626,124.8181818181818,0.0167492627088586,0.2630979498861048,0.1666666666666666,,,,,,,,,,,
127,BluBabii22,unreliable,True,True,,1265809998.0,False,4407.0,92.0,152.0,388.0,0.6052631578947368,92.0,0.1956521739130435,0.2717391304347826,0.2391304347826087,88.91304347826087,0.1175566123188405,0.1461311549807125,0.12,,,,,,,,,,,
128,Blue_303_0,unreliable,True,True,,8.556296042155991e+17,False,2907.0,14.0,49.0,1860.0,0.2857142857142857,84.0,0.7857142857142857,0.2976190476190476,0.2261904761904762,106.82142857142856,0.0709093700611557,0.2022703818369453,0.12,,,,,,,,,,,
